id,ean,name,legal_name,unit_price,is_discounted,previous_price,origin,supplier,weight,category,age_check,alcohol_by_volume,is_new,is_pack,pack_size
17410,8480000174109,Fresh Truffle sauce Hacendado,Salsa fresca con preparado de trufa,1.45,False,,España,"COMERCIAL GALLO, S.A.U.",0.14,"Oils, spices & sauces",False,,False,False,
17409,8480000174093,Fresh Cheese sauce Hacendado,Salsa fresca con quesos,1.45,False,,España,"COMERCIAL GALLO, S.A.U.",0.18,"Oils, spices & sauces",False,,False,False,
35186,8402001009044,Fresh Pesto sauce with basil Hacendado,SALSA PESTO FRESCO,2.0,False,,,ANDREA RAVARINO,0.15,"Oils, spices & sauces",False,,False,False,
35184,8436566135535,Fresh wild mushroom sauce,BENDITA SALSA FRESCA FUNGHI PORCINI,1.65,False,,,BENFOOD ALIMENTARIA SLU,0.18,"Oils, spices & sauces",False,,False,False,
35183,8436566135641,Fresh Carbonara sauce Hacendado,SALSA CARBONARA BENDITA,1.65,False,,,BENFOOD ALIMENTARIA SLU,0.2,"Oils, spices & sauces",False,,False,False,
17360,8480000173607,Soy sauce Hacendado,Salsa de soja,1.4,False,,Austria,Develey Senf und Feinkost GmbH,0.25,"Oils, spices & sauces",False,,False,False,
17362,8480000173621,Teriyaki sauce Hacendado,Salsa Teriyaki,1.65,False,,Polonia,Develey Polska Sp. z o.o.,0.25,"Oils, spices & sauces",False,,False,False,
22721,8436536839272,Sweet and sour sauce Salsas Asturianas,Salsa agridulce,1.7,False,,,Salsas Asturianas S.L.,0.34,"Oils, spices & sauces",False,,False,False,
22613,8854692010357,Thai sweet chilli J-Lek,,1.55,False,,,,0.25,"Oils, spices & sauces",False,,False,False,
17382,8480000173829,Gluten-free soy sauce Hacendado,"Salsa de Soja, sin gluten",2.5,False,,Austria,Develey,0.25,"Oils, spices & sauces",False,,False,False,
3840,8480000038401,Guacamole Hacendado,Guacamole,3.79,False,,,José Luis Montosa SL.,0.5,"Oils, spices & sauces",False,,False,False,
3852,8480000038524,Guacamole Hacendado,Guacamole,1.75,False,        1.89,,José Luis Montosa SL.,0.2,"Oils, spices & sauces",False,,False,False,
17327,8480000173270,Yoghurt sauce Hacendado,Salsa Yogur,1.2,False,,España,Conservas el Cidacos S.A.,0.31,"Oils, spices & sauces",False,,False,False,
16827,8480000168276,Mexican sauce Hacendado,Salsa Mexicana,1.25,False,,España,Conservas el Cidacos S.A.,0.3,"Oils, spices & sauces",False,,False,False,
17386,8480000173867,Ranch dressing Hacendado,Salsa Ranch,1.35,False,,Polonia,Develey Polska Sp. z o.o.,0.25,"Oils, spices & sauces",False,,False,False,
17366,8480000173669,Caesar dressing Hacendado,Salsa César,1.4,False,,España,Conservas el Cidacos S.A.,0.31,"Oils, spices & sauces",False,,False,False,
