id,language,ean,name,slug,legal_name,unit_price,bulk_price,is_discounted,previous_price,iva,age_check,alcohol_by_volume,is_new,is_pack,pack_size,description,minimum_amount,weight,brand,origin,supplier,category,warehouses,date
86847,es,8480000868473,Golosinas Rega Black Mix Hacendado,golosinas-rega-black-mix-hacendado-paquete,,1.6,5.33,False,,10,False,,False,False,,Golosinas Rega Black Mix Hacendado,1,0.3,Hacendado,,,Golosinas,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
67736,es,8480000677365,Golosinas Fresi Pink Mix Hacendado,golosinas-fresi-pink-mix-hacendado-paquete,Caramelo de goma,1.6,5.33,False,,10,False,,False,False,,Golosinas Fresi Pink Mix Hacendado,1,0.3,Hacendado,España,"VIDAL GOLOSINAS, S.A.",Golosinas,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
52445,es,8402001010521,Golosinas ladrillos con pica Hacendado sabor fresa y nata ácida,golosinas-ladrillos-con-pica-hacendado-sabor-fresa-nata-acida-paquete,,1.1,5.5,False,,10,False,,False,False,,Golosinas ladrillos con pica Hacendado sabor fresa y nata ácida,1,0.2,Hacendado,,,Golosinas,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
67967,es,8480000679673,Golosinas Cintas de fresa con pica Hacendado,golosinas-cintas-fresa-con-pica-hacendado-caja,Geles dulces,1.75,5.83,False,,10,False,,False,False,,Golosinas Cintas de fresa con pica Hacendado,1,0.3,Hacendado,España,KING REGAL. S. A.,Golosinas,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
60384,es,8480000603845,Golosinas Mix azúcar Hacendado,golosinas-mix-azucar-hacendado-paquete,,1.6,5.33,False,,10,False,,False,False,,Golosinas Mix azúcar Hacendado,1,0.3,Hacendado,,,Golosinas,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
67968,es,8480000679680,"Golosinas Rega Red Mix Hacendado sabor fresa, nata y tutti frutti",golosinas-rega-red-mix-hacendado-sabor-fresa-nata-tutti-frutti-paquete,,1.6,5.33,False,,10,False,,False,False,,"Golosinas Rega Red Mix Hacendado sabor fresa, nata y tutti frutti",1,0.3,Hacendado,,,Golosinas,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
35856,es,8402001010705,Golosinas Mix con pica Hacendado,golosinas-mix-con-pica-hacendado-paquete,Caramelo de goma,1.6,5.33,False,,10,False,,False,False,,Golosinas Mix con pica Hacendado,1,0.3,Hacendado,,"VIDAL GOLOSINAS, S.A.",Golosinas,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
60630,es,8402001012556,Surtido de caramelos Ácidos pintalenguas Hacendado sabor frambuesa y cola,surtido-caramelos-acidos-pintalenguas-hacendado-sabor-frambuesa-cola-paquete,Caramelos blandos ácidos sabores frambuesa y cola 200g,1.85,9.25,False,,10,False,,False,False,,Surtido de caramelos Ácidos pintalenguas Hacendado sabor frambuesa y cola,1,0.2,Hacendado,,"CANTALOU, S.A.",Golosinas,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
60567,es,8402001016783,Golosinas Rega Fruit Mix Hacendado,golosinas-rega-fruit-mix-hacendado-paquete,Geles dulces,1.6,5.33,False,,10,False,,False,False,,Golosinas Rega Fruit Mix Hacendado,1,0.3,Hacendado,,"VIDAL GOLOSINAS, S.A.",Golosinas,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
60648,es,8402001020575,Cono de golosinas celebración Hacendado,cono-golosinas-celebracion-hacendado-contiene-piruleta-cinta-pica-pica-2-caramelos-goma-snack-maiz-caramelo-blando-caramelo-duro-comprimido-con-polvo-pica-sabor-fresa-gel-dulce-paquete,,1.25,14.83,False,,10,False,,False,False,,"Cono de golosinas celebración Hacendado contiene piruleta, cinta pica-pica, 2 caramelos de goma, snack de maiz, caramelo blando, caramelo duro, comprimido con polvo pica sabor fresa y gel dulce.",1,0.0843,Hacendado,,,Golosinas,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
86755,es,8480000867551,Mermelada de fresa Hacendado,mermelada-fresa-hacendado-tarro,Mermelada de fresa,1.55,3.88,False,,10,False,,False,False,,Mermelada de fresa Hacendado,1,0.4,Hacendado,,DULCES Y CONSERVAS HELIOS S.A.,Mermelada y miel,"['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
