id,ean,name,legal_name,unit_price,is_discounted,previous_price,origin,supplier,weight,category,age_check,alcohol_by_volume,is_new,is_pack,pack_size
66470,4008287050530,Cerveza Pils Krombacher,Cerveza,0.6,False,,Alemania,Krombacher Brauerei Bernhard Schadeberg GMBH&Co. KG,0.33,Bodega,True,4.8,False,False,
66432,8480000664327,Cerveza doble malta,Cerveza doble malta,3.18,False,,Marruecos,"Mercadona, S.A",1.98,Bodega,True,7.4,False,True,0.33
66433,8480000664334,Cerveza doble malta,Cerveza doble malta,0.53,False,,Marruecos,"Mercadona, S.A",0.33,Bodega,True,7.4,False,False,
22385,8480000223852,Cerveza sin gluten Steinburg,Cerveza sin gluten,7.92,False,,,BIRC S.P.A.,3.96,Bodega,True,5.4,False,True,0.33
66793,8480000667939,Cerveza sin gluten Steinburg,Cerveza sin gluten,0.66,False,,,BIRC S.P.A.,0.33,Bodega,True,5.4,False,False,
60983,8410793227737,Cerveza Victoria Málaga,,3.54,False,        4.32,,,1.98,Bodega,True,,False,True,0.33
27074,8410793226136,Cerveza Victoria Málaga,Cerveza,0.72,False,,,DAMM S.A.,0.33,Bodega,True,5.4,False,False,
86233,8410793647733,Cerveza negra Victoria Marengo,,5.4,False,,,,1.98,Bodega,True,,False,True,0.33
86234,8410793646132,Cerveza negra Victoria Marengo,,0.9,False,,,,0.33,Bodega,True,,False,False,
66994,8480000669940,Cerveza Clásica Steinburg,CERVEZA,6.3,False,,España,FONT SALEM SL,6.0,Bodega,True,4.8,False,True,1.0
66482,8480000665669,Cerveza Clásica Steinburg,CERVEZA,1.05,False,,España,FONT SALEM SL,1.0,Bodega,True,4.8,False,False,
66465,8480000664655,Cerveza Clásica Steinburg,Cerveza,5.58,False,        5.70,,Brouwerij Martens,6.0,Bodega,True,4.8,False,True,1.0
66466,8480000664662,Cerveza Clásica Steinburg,Cerveza,0.93,False,,,Brouwerij Martens,1.0,Bodega,True,4.8,False,False,
22467,8480000224675,Cerveza Clásica Steinburg,Tortellini con salsa de setas,4.2,False,,España,Font Salem S.L.,3.0,Bodega,True,4.8,False,True,0.25
22489,8480000224897,Cerveza Clásica Steinburg,Cerveza,0.35,False,,,Font Salem S.L.,0.25,Bodega,False,4.8,False,False,
27150,8413681305531,Cerveza reserva 1925 Alhambra,CERVEZA EXTRA,7.92,False,,España,"MAHOU, S.A.",1.98,Bodega,True,6.4,False,True,0.33
66518,8413681300864,Cerveza reserva 1925 Alhambra,Cerveza extra,1.49,False,,España,"MAHOU, S.A.",0.33,Bodega,True,6.4,False,False,
66588,8411327011068,Cerveza clásica Mahou,CERVEZA,10.62,False,,España,"MAHOU, S.A.",6.0,Bodega,True,4.8,False,True,1.0
27151,8411327011013,Cerveza clásica Mahou,CERVEZA,1.77,False,,España,"MAHOU, S.A.",1.0,Bodega,True,4.8,False,False,
66344,8411327031127,Cerveza clásica Mahou,CERVEZA,5.88,False,,España,"MAHOU, S.A.",3.0,Bodega,True,4.8,False,True,0.25
