id,warehouse,language,ean,name,slug,legal_name,unit_price,bulk_price,is_discounted,previous_price,iva,age_check,alcohol_by_volume,is_new,is_pack,pack_size,description,minimum_amount,weight,brand,origin,supplier,category
34173,mad1,es,8480000341730,Nuez moscada molida Hacendado,nuez-moscada-molida-hacendado-bote,Nuez moscada molida,1.65,28.45,False,,10,False,,False,False,,Nuez moscada molida Hacendado,1,0.058,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
34138,mad1,es,8480000341389,Cebolla en polvo Hacendado,cebolla-polvo-hacendado-bote,Cebolla granulada,0.96,16.0,False,,0,False,,False,False,,Cebolla en polvo Hacendado,1,0.06,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
34178,mad1,es,8480000341785,Cayena guindillas Hacendado,cayena-guindillas-hacendado-bote,Cayena guindillas,1.3,48.15,False,,0,False,,False,False,,Cayena guindillas Hacendado,1,0.027,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
37417,mad1,es,8480000374172,Cayena molida Hacendado,cayena-molida-hacendado-bote,Cayena,1.59,28.91,False,,0,False,,False,False,,Cayena molida Hacendado,1,0.055,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
34163,mad1,es,8480000341631,Cúrcuma Hacendado,curcuma-hacendado-bote,Cúrcuma,1.25,20.83,False,,10,False,,False,False,,Cúrcuma Hacendado,1,0.06,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
34149,mad1,es,8480000341495,Jengibre molido Hacendado,jengibre-molido-hacendado-bote,Jengibre molido,1.65,33.67,False,,10,False,,False,False,,Jengibre molido Hacendado,1,0.049,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
34130,mad1,es,8480000341303,Sal de ajo Hacendado,sal-ajo-hacendado-bote,Sazonador Sal de ajo,1.8,13.85,False,,10,False,,False,False,,Sal de ajo Hacendado,1,0.13,Hacendado,España,"JESÚS NAVARRO, S.A.","Aceite, vinagre y sal"
34113,mad1,es,8480000341136,Ñoras Hacendado,noras-hacendado-paquete,Ñoras,1.4,56.0,False,,0,False,,False,False,,Ñoras Hacendado,1,0.025,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
34122,mad1,es,8480000341228,Clavo en grano Hacendado,clavo-grano-hacendado-bote,Clavo en grano,1.75,41.67,False,,10,False,,False,False,,Clavo en grano Hacendado,1,0.042,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
60869,mad1,es,8480000608697,Piñones Hacendado,pinones-hacendado-bote,Piñones,2.84,40.57,False,,0,False,,False,False,,Piñones Hacendado,1,0.07,Hacendado,Origen: Fuera de la UE.,"JESÚS NAVARRO, S.A.",Especias
23353,mad1,es,8480000233530,Sazonador para fajitas Hacendado sabor tex-mex,sazonador-fajitas-hacendado-sabor-tex-mex,Sazonador Fajitas,0.85,50.0,False,,10,False,,False,False,,Sazonador para fajitas Hacendado sabor tex-mex,1,0.017,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
11971,mad1,es,8480000119711,Sazonador ajo y limón Hacendado para carne y pescado,sazonador-ajo-limon-hacendado-carne-pescado-horno-microondas-con-bolsa,Sazonador Ajo y limón,1.05,35.0,False,,10,False,,False,False,,Sazonador ajo y limón Hacendado para carne y pescado al horno y microondas con bolsa,1,0.03,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
11972,mad1,es,8480000119728,Sazonador hierbas provenzales Hacendado para pollo y costillas,sazonador-hierbas-provenzales-hacendado-pollo-costillas-horno-microondas-con-bolsa,Sazonador Hierbas Provenzales,1.0,41.67,False,,10,False,,False,False,,Sazonador hierbas provenzales Hacendado para pollo y costillas al horno y microondas con bolsa,1,0.024,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
86659,mad1,es,8480000866592,Sazonador sabor barbacoa Hacendado para carne,sazonador-sabor-barbacoa-hacendado-carne,Sazonador BBQ,1.35,23.68,False,,10,False,,False,False,,Sazonador sabor barbacoa Hacendado para carne,1,0.057,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
34702,mad1,es,8480000347022,Sazonador para paella con azafrán Hacendado,sazonador-paella-con-azafran-hacendado-caja,Sazonador para paella con azafrán,1.45,72.5,False,,10,False,,False,False,,Sazonador para paella con azafrán Hacendado,1,0.02,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
17147,mad1,es,8480000171474,Sazonador para burritos Hacendado,sazonador-burritos-hacendado,Sazonador para Burritos,1.3,32.5,False,,10,False,,False,False,,Sazonador para burritos Hacendado,1,0.04,Hacendado,España,"JESÚS NAVARRO, S.A.",Especias
